"Baiser, B., Gotelli, N.J., Buckley, H.L., Miller, T.E., and Ellison. A.M. (2012). Geographic variation in network structure of a nearctic aquatic food web. Global Ecology and Biogeography. 21, pp. 579-591.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarracenia food web - North America,Detritus,Wyeomia smithii,Metriocnemus knabi,Saraceniopus spp,Copepod unknown,Cladoceran unknown,Fletcherimyia fletcheri,Nematode unknown,Amphipod unknown,Gastrotrich unknown,Tardigrade unknown,Habrotrocha rosa,Loricate rotifers,Unknown rotifers,Acineta,unknown Amoeba,Anisonema,unknown protozoan,Bodo sp1,Cercomonas,Chlamydomonas,Chlamydodon,Chrysomonads,Cinetochilum,Colpidium sp1,Colpidium sp2,Colpoda sp big,Colpoda sp small,Cryptomonas,Cyclidium,Dileptis,Entosiphon,Euglena,Euplotes,unknown flagellate,Halteria,Hastatella,Heliophyra,unknown Hypotrich,Menoidium,Notoselenus,Paramecium,Paruroleptus,Peranema,Petalomonas,Spirostomum,Tachysoma,unknown ciliate A,unknown ciliate B,unknown ciliate C,unknown protozoan A,unknown protozoan B,unknown protozoan C,unknown protozoan D,unknown protozoan E,unknown protozoan F,unknown protozoan G,unknown protozoan H,unknown protozoan I,unknown protozoan J,unknown protozoan K,Vorticella,Sphingomonas,Eukaryote- yeast,Klebsiella (K. pneumoniae),Microbacterium,Agrobacterium rhizogenes (S. rosa),Sphingomonas,Cytophagales,Rhodoferax ,Flectobacillus A,Flectobacillus B,Sphingomonas,Flectobacillus C,Chryseobacterium,Chromobacterium A,Bacillus/soil bacterium,Chromobacterium B,Pseudomonas,Chromobacterium violaceum,unknown bacterium A,unknown bacterium B,unknown bacterium C,unknown bacterium D,unknown bacterium E,unknown bacterium F,unknown bacterium G,unknown bacterium H,unknown bacterium I,unknown bacterium J,unknown bacterium K
Detritus,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyeomia smithii,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metriocnemus knabi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saraceniopus spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copepod unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladoceran unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fletcherimyia fletcheri,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nematode unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphipod unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastrotrich unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
